agent	tier
a11y-auditor	sonnet
agent-auditor	sonnet
anti-ai-design	sonnet
blind-spot-auditor	opus
ci-auditor	sonnet
code-auditor	sonnet
compat-auditor	sonnet
conformance-auditor	sonnet
copywriter	sonnet
coverage-analyst	sonnet
culinary-researcher	sonnet
cultural-sensitivity	sonnet
dependency-auditor	sonnet
fix-regression-checker	opus
fuzz-test	sonnet
integration-test	sonnet
interview	sonnet
itinerary-compiler	haiku
local-insights-researcher	sonnet
mainstream-attractions-researcher	sonnet
migration-planner	sonnet
mutation-test	sonnet
agent-auditor-opus	opus
blind-spot-auditor-opus	opus
conformance-auditor-opus	opus
interview-opus	opus
migration-planner-opus	opus
plan-auditor-opus	opus
requirements-auditor-opus	opus
travel-research-coordinator-opus	opus
perf-analyst	sonnet
plan-audit-loop	sonnet
plan-auditor	opus
pre-release	sonnet
pr-reviewer	sonnet
qa-agent	sonnet
regression-test	sonnet
requirements-auditor	sonnet
rt-access-control	sonnet
rt-api-abuse	sonnet
rt-auth-session	sonnet
rt-business-logic	opus
rt-cache-poisoning	sonnet
rt-cloud-infra	sonnet
rt-injection	sonnet
rt-recon	sonnet
rt-request-smuggling	sonnet
rt-ssrf	sonnet
rt-tls-headers	sonnet
rt-xss	sonnet
security-auditor	sonnet
seo-auditor	sonnet
skill-auditor	sonnet
skill-trigger-auditor	sonnet
agent-auditor-sonnet	sonnet
blind-spot-auditor-sonnet	sonnet
migration-planner-sonnet	sonnet
stitch-designer	sonnet
svg-illustrator	sonnet
test-engineer	sonnet
token-usage-auditor	sonnet
travel-guide-designer	sonnet
travel-research-coordinator	sonnet
visual-flair	sonnet
visual-hygiene	sonnet
web-performance-auditor	sonnet
